Date,Fund,Amount,Investment

2016-01-03,540003,113.74,250
2015-12-21,540003,103.57,250
2015-12-11,540003,108.72,250
2015-12-04,540003,109.82,250
2015-11-27,540003,112.07,250
2015-11-20,540003,109.83,250
2015-11-16,540003,110.59,250
2015-11-06,540003,115.62,250
2015-08-18,001243,1257.90,1000
2015-08-18,001113,1058.98,1000
2015-07-14,000961,845.71,1000
2015-06-30,000961,3872.78,5000
2015-06-26,001113,-2000,-2076.96
2015-06-26,001113,-3000,-3115.44
2015-06-26,001113,-8000,-8307.85
2015-05-29,001210,4941.09,5000
2015-05-28,001113,16091.39,20000
2015-05-04,001243,4985.79,5000
2015-04-24,001113,1394.08,1394.08
