Date,Net
2015-09-09,1.8739
2015-09-08,1.8283
2015-09-07,1.7771
2015-09-02,1.7919
2015-09-01,1.8163
2015-08-31,1.9036
2015-08-28,1.9583
2015-08-27,1.8656
2015-08-26,1.8109
2015-08-25,1.8537
2015-08-24,1.9416
2015-08-21,2.0459
2015-08-20,2.1338
2015-08-19,2.1872
2015-08-18,2.1609
2015-08-17,2.2984
2015-08-14,2.2683
2015-08-13,2.2597
2015-08-12,2.2209
2015-08-11,2.2599
2015-08-10,2.2502
2015-08-07,2.1404
2015-08-06,2.0823
2015-08-05,2.0887
2015-08-04,2.1218
2015-08-03,2.1022
2015-07-31,2.1022
2015-07-30,2.1250
2015-07-29,2.1863
2015-07-28,2.0895
2015-07-27,2.1505
2015-07-24,2.3006
2015-07-23,2.3485
2015-07-22,2.2792
2015-07-21,2.2546
2015-07-20,2.1938
2015-07-17,2.1245
2015-07-16,1.9972
2015-07-15,1.9737
2015-07-14,2.0696
2015-07-13,2.0283
2015-07-10,1.9174
2015-07-09,1.8282
2015-07-08,1.7656
2015-07-07,1.8482
2015-07-06,1.9136
2015-07-03,1.9232
2015-07-02,2.0311
2015-07-01,2.1527
2015-06-30,2.2648
2015-06-29,2.1430
2015-06-26,2.2686
2015-06-25,2.4733
2015-06-24,2.5575
2015-06-23,2.4980
2015-06-19,2.4623
2015-06-18,2.6488
2015-06-17,2.7094
2015-06-16,2.6783
2015-06-15,2.7561
2015-06-12,2.7713
2015-06-11,2.7308
2015-06-10,2.6939
2015-06-09,2.6394
2015-06-08,2.6681
2015-06-05,2.6916
2015-06-04,2.6872
2015-06-03,2.6887
2015-06-02,2.6839
2015-06-01,2.5919
2015-05-29,2.4794
2015-05-28,2.4653
2015-05-27,2.6261
2015-05-26,2.6167
2015-05-25,2.5615
2015-05-22,2.4958
2015-05-21,2.4789
2015-05-20,2.4136
2015-05-19,2.3700
2015-05-18,2.3201
2015-05-15,2.2752
2015-05-14,2.2818
2015-05-13,2.2918
2015-05-12,2.2934
2015-05-11,2.2412
2015-05-08,2.1549
2015-05-07,2.0907
2015-05-06,2.1071
2015-05-05,2.1182
2015-05-04,2.1976
2015-04-30,2.2084
2015-04-29,2.2091
2015-04-28,2.1882
2015-04-27,2.2299
2015-04-24,2.1949
