Date,Close,Net
2015-08-17,9239.29,0.8563
2015-08-14,9049.05,0.8392
2015-08-13,8963.580,0.8321
2015-08-12,8759.010,0.8132
2015-08-11,8905.230,0.8263
2015-08-10,8813.250,0.8179
2015-08-07,8339.372,0.7752
2015-08-06,8063.7285,0.7514
2015-08-05,8076.2844,0.7527
2015-08-04,8149.137,0.7593
2015-08-03,7686.2822,0.7168
2015-07-31,7970.2275,0.7436
2015-07-30,8124.4221,0.7566
2015-07-29,8337.3918,0.7788
2015-07-28,7912.0289,0.7387
2015-07-27,8136.5795,0.7592
2015-07-24,8861.472,0.8242
2015-07-23,9008.4551,0.838
2015-07-22,8750.937,0.8154
2015-07-21,8657.1725,0.8037
2015-07-20,8512.0189,0.7888
2015-07-17,8315.309,0.7689
2015-07-16,7839.3451,0.7254
2015-07-15,7628.7768,0.7104
2015-07-14,8137.6105,0.7508
2015-07-13,8049.6478,0.7401
2015-07-10,7532.8672,0.6926
2015-07-09,7055.3984,0.662
2015-07-08,6621.0714,0.6321
2015-07-07,6970.8,0.6662
2015-07-06,7464.81,0.72
2015-07-03,7742.39,0.7524
2015-07-02,8292.08,0.8125
2015-07-01,8958.91,0.8799
2015-06-30,9567.33,0.9374
2015-06-29,9084.44,0.8956
2015-06-26,9651.77,0.9579
2015-06-25,10608.93,1.0563
2015-06-24,11047.833,1.0998
2015-06-23,10740.8353,1.0678
2015-06-19,10583.5521,1.0544
2015-06-18,11332.7566,1.1305
2015-06-17,11596.5733,1.1604
2015-06-16,11335.6832,1.1358
2015-06-15,11694.234,1.1778
2015-06-12,11808.0247,1.1948
2015-06-11,11548.4737,1.1729
2015-06-10,11295.9986,1.1511
2015-06-09,11011.4658,1.1263
2015-06-08,11084.7635,1.1363
2015-06-05,11162.4626,1.151
2015-06-04,11023.0211,1.1385
2015-06-03,11039.9136,1.1343
2015-06-02,10924.8435,1.1198
2015-06-01,10481.43,
2015-05-29,9902.02,1.0230
2015-05-28,9849.96,
2015-05-27,10487.64,
2015-05-26,10297.44,
2015-05-25,10003.28,
2015-05-22,9749.37,1.0272
2015-05-21,9576.47,
2015-05-20,9167.33,
2015-05-19,8959.26,
2015-05-18,8607.64,
2015-05-15,8361.24,1.0021
2015-05-14,8365.48,
2015-05-13,8286.45,
2015-05-12,8199.86,
2015-05-11,7977.23,
2015-05-08,7576.67,1.0003
2015-05-07,7265.66,
2015-05-06,7373.99,
2015-05-05,7493.50,
2015-05-04,7756.92,1.0000
